instnm,Institution (entity) name (HD2018),
	Educational Technical College-Recinto de Bayamon,	Educational Technical College-Recinto de Bayamon,
A T Still University of Health Sciences,A T Still University of Health Sciences,
Aaniiih Nakoda College,Aaniiih Nakoda College,
ABC Adult School,ABC Adult School,
ABC Adult School - Cabrillo Lane,ABC Adult School - Cabrillo Lane,
ABC Beauty Academy,ABC Beauty Academy,
ABCO Technology,ABCO Technology,
Abcott Institute,Abcott Institute,
Abdill Career College Inc,Abdill Career College Inc,
Abilene Christian University,Abilene Christian University,
Abraham Baldwin Agricultural College,Abraham Baldwin Agricultural College,
Abraham Lincoln University,Abraham Lincoln University,
Academia Serrant Inc,Academia Serrant Inc,
Academy College,Academy College,
Academy Di Capelli-School of Cosmetology,Academy Di Capelli-School of Cosmetology,
Academy di Firenze,Academy di Firenze,
Academy for Careers and Technology,Academy for Careers and Technology,
Academy for Five Element Acupuncture,Academy for Five Element Acupuncture,
Academy for Jewish Religion-California,Academy for Jewish Religion-California,
Academy for Nursing and Health Occupations,Academy for Nursing and Health Occupations,
Academy for Salon Professionals,Academy for Salon Professionals,
Academy of Art University,Academy of Art University,
Academy of Career Training,Academy of Career Training,
Academy of Careers and Technology,Academy of Careers and Technology,
Academy of Chinese Culture and Health Sciences,Academy of Chinese Culture and Health Sciences,
Academy of Cosmetology,Academy of Cosmetology,
Academy of Cosmetology,Academy of Cosmetology,
Academy of Cosmetology,Academy of Cosmetology,
Academy of Cosmetology and Esthetics,Academy of Cosmetology and Esthetics,
Academy of Cosmetology and Esthetics NYC,Academy of Cosmetology and Esthetics NYC,
Academy of Esthetics and Cosmetology,Academy of Esthetics and Cosmetology,
Academy of Hair Design-Beaumont,Academy of Hair Design-Beaumont,
Academy of Hair Design-Grenada,Academy of Hair Design-Grenada,
Academy of Hair Design-Jackson,Academy of Hair Design-Jackson,
Academy of Hair Design-Jasper,Academy of Hair Design-Jasper,
Academy of Hair Design-Las Vegas,Academy of Hair Design-Las Vegas,
Academy of Hair Design-Lufkin,Academy of Hair Design-Lufkin,
Academy of Hair Design-Oklahoma City,Academy of Hair Design-Oklahoma City,
Academy of Hair Design-Pearl,Academy of Hair Design-Pearl,
Academy of Hair Design-Springfield,Academy of Hair Design-Springfield,
Academy of Hair Technology,Academy of Hair Technology,
Academy of Interactive Entertainment,Academy of Interactive Entertainment,
Academy of Interactive Entertainment,Academy of Interactive Entertainment,
Academy of Massage and Bodywork,Academy of Massage and Bodywork,
Academy of Natural Therapy Inc,Academy of Natural Therapy Inc,
Academy of Professional Cosmetology,Academy of Professional Cosmetology,
Academy of Salon and Spa,Academy of Salon and Spa,
Academy of Salon Professionals,Academy of Salon Professionals,
Academy of Vocal Arts,Academy of Vocal Arts,
Acaydia School of Aesthetics,Acaydia School of Aesthetics,
Access Careers,Access Careers,
Ace Cosmetology and Barber Training Center,Ace Cosmetology and Barber Training Center,
Ace Institute of Technology,Ace Institute of Technology,
Acupuncture and Integrative Medicine College-Berkeley,Acupuncture and Integrative Medicine College-Berkeley,
Acupuncture and Massage College,Acupuncture and Massage College,
Adams State University,Adams State University,
Adelphi University,Adelphi University,
Adirondack Community College,Adirondack Community College,
Adler Graduate School,Adler Graduate School,
Adler University,Adler University,
Adrian College,Adrian College,
Adrian's College of Beauty Turlock,Adrian's College of Beauty Turlock,
Adult and Community Education-Hudson,Adult and Community Education-Hudson,
Adult and Continuing Education-BCTS,Adult and Continuing Education-BCTS,
Advance Beauty College,Advance Beauty College,
Advance Beauty Techs Academy,Advance Beauty Techs Academy,
Advance Science International College,Advance Science International College,
Advanced Barber College and Hair Design,Advanced Barber College and Hair Design,
Advanced Beauty College,Advanced Beauty College,
Advanced Career Institute,Advanced Career Institute,
Advanced College,Advanced College,
Advanced College of Cosmetology,Advanced College of Cosmetology,
Advanced College-Stockton,Advanced College-Stockton,
Advanced Technology Institute,Advanced Technology Institute,
Advanced Training Associates,Advanced Training Associates,
Advanced Training Institute,Advanced Training Institute,
Advanced Welding Institute,Advanced Welding Institute,
Advantage Career Institute,Advantage Career Institute,
Advantage Technical College,Advantage Technical College,
Advantage Technical College,Advantage Technical College,
AdventHealth University,AdventHealth University,
Advertising Art Educational Services DBA School of Advertising Art,Advertising Art Educational Services DBA School of Advertising Art,
Aesthetic Science Institute,Aesthetic Science Institute,
Agnes Scott College,Agnes Scott College,
AI Miami International University of Art and Design,AI Miami International University of Art and Design,
Aiken School of Cosmetology and Barbering,Aiken School of Cosmetology and Barbering,
Aiken Technical College,Aiken Technical College,
Aims Community College,Aims Community College,
Air Force Institute of Technology-Graduate School of Engineering & Management,Air Force Institute of Technology-Graduate School of Engineering & Management,
Akron School of Practical Nursing,Akron School of Practical Nursing,
Alabama A & M University,Alabama A & M University,
Alabama College of Osteopathic Medicine,Alabama College of Osteopathic Medicine,
Alabama School of Nail Technology & Cosmetology,Alabama School of Nail Technology & Cosmetology,
Alabama Southern Community College,Alabama Southern Community College,
Alabama State College of Barber Styling,Alabama State College of Barber Styling,
Alabama State University,Alabama State University,
Alamance Community College,Alamance Community College,
Alamo City Barber College,Alamo City Barber College,
Alamo Community College District Central Office,Alamo Community College District Central Office,
Alaska Bible College,Alaska Bible College,
Alaska Career College,Alaska Career College,
Alaska Christian College,Alaska Christian College,
Alaska Pacific University,Alaska Pacific University,
Albany BOCES-Adult Practical Nursing Program,Albany BOCES-Adult Practical Nursing Program,
Albany College of Pharmacy and Health Sciences,Albany College of Pharmacy and Health Sciences,
Albany Law School,Albany Law School,
Albany Medical College,Albany Medical College,
Albany State University,Albany State University,
Albany Technical College,Albany Technical College,
Albertus Magnus College,Albertus Magnus College,
Albion College,Albion College,
Albright College,Albright College,
Alcorn State University,Alcorn State University,
Alderson Broaddus University,Alderson Broaddus University,
Alexander Academy,Alexander Academy,
Alexander Paul Institute of Hair Design,Alexander Paul Institute of Hair Design,
Alexandria School of Scientific Therapeutics,Alexandria School of Scientific Therapeutics,
Alexandria Technical & Community College,Alexandria Technical & Community College,
Alfred University,Alfred University,
Alhambra Beauty College,Alhambra Beauty College,
Alhambra Medical University,Alhambra Medical University,
Alice Lloyd College,Alice Lloyd College,
All Beauty College,All Beauty College,
All Beauty College,All Beauty College,
All Beauty College,All Beauty College,
All-State Career School-Allied Health Campus,All-State Career School-Allied Health Campus,
All-State Career School-Lester,All-State Career School-Lester,
All-State Career School-Pittsburgh,All-State Career School-Pittsburgh,
All-State Career-Baltimore,All-State Career-Baltimore,
Allan Hancock College,Allan Hancock College,
Allegany College of Maryland,Allegany College of Maryland,
Allegheny College,Allegheny College,
